Environment,Seed,Noise_Type,Attack_Type,Highest_Score,Best_Epoch,Original_Log_Path
kitchen-complete-v0,1,Adversarial,rew,90.0,40,Full_Scale_Experiments/seed_1_adversarial_rew/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_adv_rew_1_20260429073650_88f1bb07-4b35-43f1-9769-0eae3ad70837
kitchen-complete-v0,0,Random,act,55.0,40,Full_Scale_Experiments/seed_0_random_act/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_rnd_act_0_20260429051533_e2b4484c-339b-40b9-8777-3cd9a0b46392
kitchen-complete-v0,1,Random,act,62.5,60,Full_Scale_Experiments/seed_1_random_act/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_rnd_act_1_20260429051534_59d8729f-f2a2-4a10-95d3-0ea78cb385c1
kitchen-complete-v0,0,Random,obs,65.0,20,Full_Scale_Experiments/seed_0_random_obs/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_rnd_obs_0_20260429044129_8670b4d8-69a8-46a5-9646-ef24a9d15203
kitchen-complete-v0,1,Random,obs,70.0,40,Full_Scale_Experiments/seed_1_random_obs/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_rnd_obs_1_20260429044130_8c930592-de8a-4915-a983-c25e0de39e60
kitchen-complete-v0,0,Random,rew,95.0,70,Full_Scale_Experiments/seed_0_random_rew/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_rnd_rew_0_20260429054740_22add533-d6b5-4559-bff3-52fd33ca4508
kitchen-complete-v0,1,Random,rew,80.0,30,Full_Scale_Experiments/seed_1_random_rew/kitchen-complete-v0/WT_RDT_kitchen-complete-v0_rnd_rew_1_20260429054741_2b4c413b-4b06-4187-a607-cbcc2eca3a96
kitchen-mixed-v0,0,Adversarial,act,57.5,50,Full_Scale_Experiments/seed_0_adversarial_act/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_adv_act_0_20260429102534_507f7425-272e-4ad1-961e-bace9caf9842
kitchen-mixed-v0,1,Adversarial,act,52.5,70,Full_Scale_Experiments/seed_1_adversarial_act/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_adv_act_1_20260429102535_e3051334-b9ce-4e18-b989-e765efc8edd6
kitchen-mixed-v0,0,Adversarial,obs,70.0,90,Full_Scale_Experiments/seed_0_adversarial_obs/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_adv_obs_0_20260429095223_2c094f2a-9283-4ab6-a616-d89f0aa81486
kitchen-mixed-v0,1,Adversarial,obs,57.5,30,Full_Scale_Experiments/seed_1_adversarial_obs/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_adv_obs_1_20260429095224_197e6b26-3879-4ba3-a2b5-e883c39a18f6
kitchen-mixed-v0,0,Adversarial,rew,65.0,90,Full_Scale_Experiments/seed_0_adversarial_rew/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_adv_rew_0_20260429105238_6632dcad-4545-4d7f-a6ba-48f52f1d5706
kitchen-mixed-v0,1,Adversarial,rew,57.5,50,Full_Scale_Experiments/seed_1_adversarial_rew/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_adv_rew_1_20260429105239_31e335a3-5845-4875-a5ba-ac287427e706
kitchen-mixed-v0,0,Random,act,62.5,40,Full_Scale_Experiments/seed_0_random_act/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_rnd_act_0_20260429084937_49a3ee9f-9ad8-4487-90db-0bed68609935
kitchen-mixed-v0,1,Random,act,50.0,20,Full_Scale_Experiments/seed_1_random_act/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_rnd_act_1_20260429084938_3aba096b-93ab-4090-bf6a-643ca3124675
kitchen-mixed-v0,0,Random,obs,67.5,50,Full_Scale_Experiments/seed_0_random_obs/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_rnd_obs_0_20260429081639_8ec733ba-e386-4e3e-86b3-4bae862b0931
kitchen-mixed-v0,1,Random,obs,62.5,70,Full_Scale_Experiments/seed_1_random_obs/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_rnd_obs_1_20260429081640_6fcfd1af-1c24-4941-a32a-3923d77c0942
kitchen-mixed-v0,0,Random,rew,60.0,90,Full_Scale_Experiments/seed_0_random_rew/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_rnd_rew_0_20260429091641_de2efeb3-4155-4b6f-8360-2da5ed136734
kitchen-mixed-v0,1,Random,rew,55.0,60,Full_Scale_Experiments/seed_1_random_rew/kitchen-mixed-v0/WT_RDT_kitchen-mixed-v0_rnd_rew_1_20260429091642_9aded387-4787-412c-bc0a-6b94bb7eff96
kitchen-partial-v0,0,Adversarial,act,62.5,90,Full_Scale_Experiments/seed_0_adversarial_act/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_adv_act_0_20260429133805_1480eca2-bfca-4c37-b926-c7275cccc143
kitchen-partial-v0,1,Adversarial,act,65.0,100,Full_Scale_Experiments/seed_1_adversarial_act/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_adv_act_1_20260429133806_3d8617ed-2fcf-48f9-9dcb-1240118e9425
kitchen-partial-v0,0,Adversarial,obs,70.0,90,Full_Scale_Experiments/seed_0_adversarial_obs/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_adv_obs_0_20260429130432_85464b5f-9b84-477f-9c68-503c991d90a4
kitchen-partial-v0,1,Adversarial,obs,75.0,100,Full_Scale_Experiments/seed_1_adversarial_obs/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_adv_obs_1_20260429130433_4e937c61-37aa-4285-a397-e650b45991b4
kitchen-partial-v0,0,Adversarial,rew,67.5,60,Full_Scale_Experiments/seed_0_adversarial_rew/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_adv_rew_0_20260429140507_9e9427f4-97e8-4553-9b04-99bd29acaf29
kitchen-partial-v0,1,Adversarial,rew,75.0,50,Full_Scale_Experiments/seed_1_adversarial_rew/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_adv_rew_1_20260429140508_f9b3a05e-69ec-4b9d-ae2b-8c87e91787be
kitchen-partial-v0,0,Random,act,77.5,40,Full_Scale_Experiments/seed_0_random_act/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_rnd_act_0_20260429120153_8bb87ce4-88c3-46d2-9bbf-e78ca1d85f1b
kitchen-partial-v0,1,Random,act,62.5,50,Full_Scale_Experiments/seed_1_random_act/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_rnd_act_1_20260429120154_e807e486-8ea0-4ce2-a7ab-8bafc5527987
kitchen-partial-v0,0,Random,obs,60.0,60,Full_Scale_Experiments/seed_0_random_obs/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_rnd_obs_0_20260429112832_1ca0e91e-bc2c-4b38-b54b-73e5e67edbce
kitchen-partial-v0,1,Random,obs,67.5,90,Full_Scale_Experiments/seed_1_random_obs/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_rnd_obs_1_20260429112833_ab0ab00c-f4a3-4ec5-b1b4-25b7662ecda4
kitchen-partial-v0,0,Random,rew,57.5,40,Full_Scale_Experiments/seed_0_random_rew/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_rnd_rew_0_20260429122853_d0cac9da-c8d3-470c-8172-5463bdff9ca2
kitchen-partial-v0,1,Random,rew,72.5,90,Full_Scale_Experiments/seed_1_random_rew/kitchen-partial-v0/WT_RDT_kitchen-partial-v0_rnd_rew_1_20260429122854_01ef4c41-cfb3-4695-8fdb-114e203014d2
relocate-expert-v0,0,Adversarial,act,63.9458,90,Full_Scale_Experiments/seed_0_adversarial_act/relocate-expert-v0/WT_RDT_relocate-expert-v0_adv_act_0_20260429164833_9bd9128e-d01f-4dc6-9146-45152fbdfa7e
relocate-expert-v0,1,Adversarial,act,82.2405,50,Full_Scale_Experiments/seed_1_adversarial_act/relocate-expert-v0/WT_RDT_relocate-expert-v0_adv_act_1_20260429164834_71ebb969-40e3-4925-a160-af56bed9cb4d
relocate-expert-v0,0,Adversarial,obs,79.214,100,Full_Scale_Experiments/seed_0_adversarial_obs/relocate-expert-v0/WT_RDT_relocate-expert-v0_adv_obs_0_20260429161842_4a7f7d05-5006-489b-9da6-68a817503491
relocate-expert-v0,1,Adversarial,obs,77.3361,50,Full_Scale_Experiments/seed_1_adversarial_obs/relocate-expert-v0/WT_RDT_relocate-expert-v0_adv_obs_1_20260429161843_6cf35643-0d87-4cf7-98e9-a17e797ec805
relocate-expert-v0,0,Adversarial,rew,96.3727,100,Full_Scale_Experiments/seed_0_adversarial_rew/relocate-expert-v0/WT_RDT_relocate-expert-v0_adv_rew_0_20260429171813_e1a3267a-d9b0-4d2b-9136-487e9f09ece6
relocate-expert-v0,1,Adversarial,rew,84.1348,10,Full_Scale_Experiments/seed_1_adversarial_rew/relocate-expert-v0/WT_RDT_relocate-expert-v0_adv_rew_1_20260429171814_25ed0956-aca6-4eb1-b48c-6b202a8484c0
relocate-expert-v0,0,Random,act,93.4736,70,Full_Scale_Experiments/seed_0_random_act/relocate-expert-v0/WT_RDT_relocate-expert-v0_rnd_act_0_20260429151014_1802a965-1a69-4ca3-8b1a-0f482c7ca0a3
relocate-expert-v0,1,Random,act,86.2222,50,Full_Scale_Experiments/seed_1_random_act/relocate-expert-v0/WT_RDT_relocate-expert-v0_rnd_act_1_20260429151015_54fccff5-4dca-4062-8e40-66cca114589d
relocate-expert-v0,0,Random,obs,79.4004,90,Full_Scale_Experiments/seed_0_random_obs/relocate-expert-v0/WT_RDT_relocate-expert-v0_rnd_obs_0_20260429144015_3f7423e6-c001-4a48-b125-13d9a032f4ba
relocate-expert-v0,1,Random,obs,71.6397,50,Full_Scale_Experiments/seed_1_random_obs/relocate-expert-v0/WT_RDT_relocate-expert-v0_rnd_obs_1_20260429144016_0a4353ec-ae50-4a21-a948-588870a54959
relocate-expert-v0,0,Random,rew,78.6079,90,Full_Scale_Experiments/seed_0_random_rew/relocate-expert-v0/WT_RDT_relocate-expert-v0_rnd_rew_0_20260429154045_3b194196-c4b4-43c6-9f7d-237f3e719b9e
relocate-expert-v0,1,Random,rew,89.0415,100,Full_Scale_Experiments/seed_1_random_rew/relocate-expert-v0/WT_RDT_relocate-expert-v0_rnd_rew_1_20260429154046_7efa4c2d-4059-47bd-95dc-7efebddf2517
walker2d-medium-replay-v2,0,Adversarial,act,30.7734,20,Full_Scale_Experiments/seed_0_adversarial_act/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_adv_act_0_20260429204728_3dd54a11-5dc9-4f93-a4c5-4ae440dd5607
walker2d-medium-replay-v2,1,Adversarial,act,36.4257,50,Full_Scale_Experiments/seed_1_adversarial_act/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_adv_act_1_20260429204729_6b72ed5d-83cb-4f38-8329-8013fd9119a2
walker2d-medium-replay-v2,0,Adversarial,obs,48.1108,40,Full_Scale_Experiments/seed_0_adversarial_obs/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_adv_obs_0_20260429200432_e2d57754-ed92-4bdf-9b39-a763dd11b255
walker2d-medium-replay-v2,1,Adversarial,obs,46.7861,30,Full_Scale_Experiments/seed_1_adversarial_obs/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_adv_obs_1_20260429200433_c3daf34c-ccda-4db5-923f-b70dd42b0194
walker2d-medium-replay-v2,0,Adversarial,rew,53.9772,60,Full_Scale_Experiments/seed_0_adversarial_rew/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_adv_rew_0_20260429211321_832403d8-47be-49a1-bdae-51f4298db60d
walker2d-medium-replay-v2,1,Adversarial,rew,54.5432,60,Full_Scale_Experiments/seed_1_adversarial_rew/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_adv_rew_1_20260429211322_ee49df0c-831b-4354-9c86-98b6a8673b95
walker2d-medium-replay-v2,0,Random,act,52.2441,60,Full_Scale_Experiments/seed_0_random_act/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_rnd_act_0_20260429183105_e44117aa-29df-44b3-9357-8199dc736d43
walker2d-medium-replay-v2,1,Random,act,50.092,40,Full_Scale_Experiments/seed_1_random_act/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_rnd_act_1_20260429183106_86e16d4d-dd9b-4688-81d8-427b99237d6c
walker2d-medium-replay-v2,0,Random,obs,46.6492,100,Full_Scale_Experiments/seed_0_random_obs/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_rnd_obs_0_20260429174925_2d895f52-8615-404e-b4e5-e230dd36c6ff
walker2d-medium-replay-v2,1,Random,obs,46.2956,40,Full_Scale_Experiments/seed_1_random_obs/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_rnd_obs_1_20260429174926_e3a49397-be30-481f-9529-f3144a91f0ac
walker2d-medium-replay-v2,0,Random,rew,65.2694,60,Full_Scale_Experiments/seed_0_random_rew/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_rnd_rew_0_20260429190058_323284d5-0de9-4253-b5c7-fb853ff51798
walker2d-medium-replay-v2,1,Random,rew,53.4509,80,Full_Scale_Experiments/seed_1_random_rew/walker2d-medium-replay-v2/WT_RDT_walker2d-medium-replay-v2_rnd_rew_1_20260429190059_04d9df03-aaac-4363-ac13-798197f4d0a2
